,timestamp,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
0,2022/8/23 8:00,1.66124E+12,21305.34,21519.01,21301.61,21450,13184.72367,1.66125E+12,282523024,411113,6751.46566,144672352.9,0
1,2022/8/23 9:00,1.66125E+12,21450.86,21550,21286,21442.58,11705.57539,1.66125E+12,250718906.3,372275,5936.71765,127176270.4,0
2,2022/8/23 10:00,1.66125E+12,21442.58,21460.57,21314.49,21416.39,8741.20005,1.66125E+12,186955941.3,273603,4364.11217,93345171.39,0
3,2022/8/23 11:00,1.66125E+12,21417.46,21495,21348.19,21456.34,7286.42398,1.66126E+12,156020472.5,245056,3733.48828,79945980.06,0
4,2022/8/23 12:00,1.66126E+12,21455.97,21518.34,21334.28,21350.98,7934.20437,1.66126E+12,169823417.6,265333,3982.46769,85243980.54,0
5,2022/8/23 13:00,1.66126E+12,21350.98,21598,21327.95,21520.58,13989.26256,1.66126E+12,300127680.2,391961,7127.90151,152934479.8,0
6,2022/8/23 14:00,1.66126E+12,21518.52,21684.87,21441.55,21468.15,16046.27479,1.66127E+12,346256302.4,435772,8030.29756,173300627.1,0
7,2022/8/23 15:00,1.66127E+12,21469.37,21582.16,21383.55,21474.67,10905.26018,1.66127E+12,234421240.9,318605,5435.11285,116838116.4,0
8,2022/8/23 16:00,1.66127E+12,21473.01,21483.71,21358.38,21462.75,8719.37221,1.66127E+12,186778381.2,255329,4218.80157,90375340.67,0
9,2022/8/23 17:00,1.66127E+12,21462.75,21519.9,21392.84,21414.72,6651.78986,1.66128E+12,142757632.7,209211,3218.83061,69082774.73,0
10,2022/8/23 18:00,1.66128E+12,21414.72,21602.49,21394.19,21543.77,8645.811,1.66128E+12,186046941.7,239471,4441.23723,95577298.14,0
11,2022/8/23 19:00,1.66128E+12,21543.77,21578,21486.75,21522.01,5849.95942,1.66128E+12,125937388.6,188056,2903.93189,62519851.46,0
12,2022/8/23 20:00,1.66128E+12,21522.01,21654.91,21454.86,21478.35,6451.33095,1.66129E+12,138898144.5,195994,3348.55747,72103356.07,0
13,2022/8/23 21:00,1.66129E+12,21479.51,21510,21428,21489.36,2957.9107,1.66129E+12,63514629.23,104549,1549.5237,33273254.69,0
14,2022/8/23 22:00,1.66129E+12,21489.36,21588.97,21471.25,21475.5,6154.97813,1.6613E+12,132502979,178330,3105.5044,66856113.99,0
15,2022/8/23 23:00,1.6613E+12,21475.71,21605.44,21455.11,21529.12,5767.53776,1.6613E+12,124199130.2,179252,2968.56831,63931859.06,0
16,2022/8/24 0:00,1.6613E+12,21529.11,21555.84,21332.8,21385.79,8032.00919,1.6613E+12,172213311.7,276397,3909.72857,83824842.82,0
17,2022/8/24 1:00,1.6613E+12,21385.79,21431.22,21172.48,21264.71,8089.4515,1.66131E+12,172299291.5,269537,3963.62495,84418046.85,0
18,2022/8/24 2:00,1.66131E+12,21264.71,21368.08,21145,21200.06,7771.60019,1.66131E+12,165237301.9,264829,3814.48996,81108125.45,0
19,2022/8/24 3:00,1.66131E+12,21200.06,21291.19,21167.58,21264.01,5892.87163,1.66131E+12,125133688.7,212408,3047.57598,64716491.64,0
20,2022/8/24 4:00,1.66131E+12,21264.01,21362.77,21237.57,21328.56,4919.42586,1.66132E+12,104695393.2,181342,2476.0196,52694220.66,0
21,2022/8/24 5:00,1.66132E+12,21329.47,21504.97,21311.49,21421.18,8434.11364,1.66132E+12,180605477,256177,4289.97027,91865615.91,0
22,2022/8/24 6:00,1.66132E+12,21421.18,21469.86,21318.09,21404.55,6746.25286,1.66132E+12,144254343.3,221514,3305.70543,70687403.86,0
23,2022/8/24 7:00,1.66132E+12,21404.55,21452,21243.29,21317.85,9573.76912,1.66133E+12,204312112.9,291207,4547.01651,97037185.67,0
24,2022/8/24 8:00,1.66133E+12,21319.27,21440.07,21300,21341.4,7185.92744,1.66133E+12,153582843.5,225853,3680.0748,78655963.72,0
25,2022/8/24 9:00,1.66133E+12,21341.4,21397.2,21293.39,21314.67,5646.55573,1.66134E+12,120507930.7,194909,2768.72119,59090561.23,0
26,2022/8/24 10:00,1.66134E+12,21314.67,21385.01,21261,21282.16,5679.76892,1.66134E+12,121114963.9,193392,2791.88097,59539385.66,0
27,2022/8/24 11:00,1.66134E+12,21282.16,21476.23,21271.64,21438.92,7089.8078,1.66134E+12,151682207.5,228688,3732.48834,79852735.93,0
28,2022/8/24 12:00,1.66134E+12,21439.84,21512,21421.22,21486.75,8392.54188,1.66135E+12,180158351.6,246983,4282.56556,91936803.47,0
29,2022/8/24 13:00,1.66135E+12,21485.6,21508.53,21373.43,21439.86,9335.99877,1.66135E+12,200233181.2,282065,4380.75309,93962907.55,0
30,2022/8/24 14:00,1.66135E+12,21438.62,21558,21400.01,21467.61,9331.6361,1.66135E+12,200462658.4,287020,4649.30602,99880345.84,0
