timestamp,open,high,low,close,volume,close time,quote asset volume,number of trades,taker buy base asset volume,taker buy quote asset volume,ignore
2021-02-22 13:00:00,32.26440000,32.50000000,30.20010000,30.34010000,173696.24000000,1614002399999,5461745.59489600,9268,68571.78000000,2161074.92605100,0
2021-02-22 14:00:00,30.33850000,33.49940000,25.47000000,33.49940000,420332.77000000,1614005999999,12538717.30566800,25860,187332.95000000,5626086.03801000,0
2021-02-22 15:00:00,33.29060000,33.56080000,30.29290000,31.52840000,292039.98000000,1614009599999,9278969.39642200,17262,146532.21000000,4655296.54360100,0
2021-02-22 16:00:00,31.48430000,32.59720000,30.83050000,31.54540000,129735.05000000,1614013199999,4142737.53411500,9062,57186.71000000,1826598.97528000,0
2021-02-22 17:00:00,31.58800000,31.89990000,29.60000000,30.01930000,130597.49000000,1614016799999,4028227.77745300,8859,61622.41000000,1902016.52517200,0
2021-02-22 18:00:00,30.00310000,31.17400000,29.33440000,30.97490000,155974.67000000,1614020399999,4728682.96554500,10192,87106.34000000,2641837.17657800,0
2021-02-22 19:00:00,30.97460000,31.95000000,30.63960000,31.95000000,80295.02000000,1614023999999,2504552.98771200,5608,39182.61000000,1222945.34738800,0
2021-02-22 20:00:00,31.94470000,33.00000000,31.66000000,31.70000000,92512.85000000,1614027599999,2984332.31325300,6336,48838.09000000,1576749.66556700,0
2021-02-22 21:00:00,31.69380000,33.10000000,31.69380000,32.87250000,70765.19000000,1614031199999,2305194.14498500,4683,41014.03000000,1336449.07657300,0
2021-02-22 22:00:00,32.87220000,33.10000000,31.85250000,32.15790000,54682.44000000,1614034799999,1778417.66206500,4524,25244.59000000,820654.39813900,0
2021-02-22 23:00:00,32.12880000,32.35000000,31.16660000,32.15020000,59268.17000000,1614038399999,1887215.75978000,4958,30549.07000000,973978.11337800,0
2021-02-23 00:00:00,32.15040000,32.41080000,30.60000000,30.65180000,127820.04000000,1614041999999,3977574.12497800,6848,67101.15000000,2088330.08039200,0
2021-02-23 01:00:00,30.66450000,31.20270000,29.37880000,29.81670000,121690.14000000,1614045599999,3679079.32423800,5754,61765.24000000,1870453.44248300,0
2021-02-23 02:00:00,29.80650000,30.44600000,29.18000000,29.44770000,92828.94000000,1614049199999,2766280.89784900,4971,44115.60000000,1315176.10189100,0
2021-02-23 03:00:00,29.46390000,30.30000000,29.03990000,29.34480000,102255.38000000,1614052799999,3043197.12304500,5238,51893.90000000,1545109.10473300,0
2021-02-23 04:00:00,29.33240000,30.00320000,28.39080000,29.40250000,130076.39000000,1614056399999,3790619.14988800,6766,59998.32000000,1752550.38519100,0
2021-02-23 05:00:00,29.40250000,29.40250000,26.90000000,27.89480000,223687.50000000,1614059999999,6252452.32583000,10292,109513.37000000,3063653.10805400,0
2021-02-23 06:00:00,27.84320000,28.78120000,27.26040000,27.44440000,120370.25000000,1614063599999,3375965.44047300,5891,57119.05000000,1602022.17878300,0
2021-02-23 07:00:00,27.44550000,28.69000000,27.32320000,28.26970000,121229.49000000,1614067199999,3406782.64955700,6006,65152.25000000,1831472.87504500,0
2021-02-23 08:00:00,28.29330000,28.54140000,23.55000000,23.55000000,321564.09000000,1614070799999,8356885.58627000,16264,135478.65000000,3525313.84035400,0
2021-02-23 09:00:00,23.55000000,26.66010000,22.51000000,26.18620000,361236.07000000,1614074399999,9029691.10663400,17759,175437.68000000,4401972.77723000,0
2021-02-23 10:00:00,26.26570000,27.23980000,24.84470000,25.85700000,181467.17000000,1614077999999,4717697.71370800,9076,89834.73000000,2339891.59416800,0
2021-02-23 11:00:00,25.80120000,26.28700000,23.50000000,25.00000000,186990.98000000,1614081599999,4672159.25485400,10040,90841.29000000,2271089.31173500,0
2021-02-23 12:00:00,25.01510000,27.91580000,24.64580000,27.40040000,212643.17000000,1614085199999,5607289.32625600,10678,98903.41000000,2613730.55818500,0
2021-02-23 13:00:00,27.40040000,28.39990000,27.07780000,28.10940000,139029.95000000,1614088799999,3870454.80188000,7493,69750.49000000,1941130.71079500,0
2021-02-23 14:00:00,28.13900000,28.92950000,26.21010000,27.39650000,153177.95000000,1614092399999,4236008.27382600,9565,74910.86000000,2076746.93313700,0
2021-02-23 15:00:00,27.37140000,28.20380000,26.95320000,27.61300000,172723.16000000,1614095999999,4792202.96978400,8648,96453.87000000,2676146.80273300,0
2021-02-23 16:00:00,27.60610000,28.36290000,26.57000000,26.68280000,166942.84000000,1614099599999,4585473.44858600,8987,86588.77000000,2378410.59626800,0
2021-02-23 17:00:00,26.73150000,27.16400000,26.00000000,26.06000000,164060.13000000,1614103199999,4358573.29390800,8804,78367.79000000,2083544.75049400,0
2021-02-23 18:00:00,26.07530000,26.32860000,25.39060000,25.58810000,127228.71000000,1614106799999,3299605.87817900,6542,63637.90000000,1652557.32483000,0
2021-02-23 19:00:00,25.58010000,26.28570000,24.69890000,25.00040000,104204.39000000,1614110399999,2634961.88064700,5563,50267.09000000,1272896.69322600,0
2021-02-23 20:00:00,25.00040000,26.14960000,24.50000000,26.01380000,114194.62000000,1614113999999,2911300.27573200,6152,57722.44000000,1472648.06046400,0
2021-02-23 21:00:00,26.00520000,26.58330000,25.74500000,26.23950000,73427.36000000,1614117599999,1924646.21822500,4364,41713.90000000,1094504.07932000,0
2021-02-23 22:00:00,26.27900000,26.65300000,25.99000000,26.57520000,32267.55000000,1614121199999,848494.85433000,2430,18747.96000000,493464.06735600,0
2021-02-23 23:00:00,26.58030000,27.70000000,26.53860000,27.59240000,106868.61000000,1614124799999,2905219.44241900,5331,53543.08000000,1455393.97743100,0
2021-02-24 00:00:00,27.59660000,27.60000000,25.25010000,26.75080000,196118.12000000,1614128399999,5162649.58267600,8323,105860.76000000,2786982.95166100,0
2021-02-24 01:00:00,26.76560000,27.98990000,26.43930000,27.98980000,151039.95000000,1614131999999,4101807.02683900,9382,85037.57000000,2313325.73362900,0
2021-02-24 02:00:00,27.93040000,28.66660000,27.56000000,28.06940000,140504.34000000,1614135599999,3945734.29546300,8613,77816.00000000,2188590.77495600,0
2021-02-24 03:00:00,28.06000000,28.66650000,27.70700000,27.88100000,92128.32000000,1614139199999,2590668.18881100,8932,48047.79000000,1353136.97098600,0
2021-02-24 04:00:00,27.92530000,28.66340000,27.05000000,27.73970000,118676.10000000,1614142799999,3318607.45278900,6668,62064.09000000,1739030.30057500,0
2021-02-24 05:00:00,27.74100000,28.09970000,27.13160000,27.53340000,91802.81000000,1614146399999,2534825.58915300,5451,50644.13000000,1399307.09452700,0
2021-02-24 06:00:00,27.57640000,28.72000000,26.86990000,28.02740000,142460.77000000,1614149999999,3925401.93697900,6623,82906.46000000,2287454.20190900,0
2021-02-24 07:00:00,28.06700000,30.56860000,27.80010000,30.49180000,232681.32000000,1614153599999,6772476.44690100,10996,140239.99000000,4081842.39533600,0
2021-02-24 08:00:00,30.46970000,32.26990000,29.95720000,31.11820000,416801.39000000,1614157199999,13002645.54094100,20315,208952.96000000,6513629.08715700,0
2021-02-24 09:00:00,31.16520000,31.18500000,30.13730000,30.28800000,167399.64000000,1614160799999,5127187.43227300,9620,88176.59000000,2701383.41223600,0
2021-02-24 10:00:00,30.28800000,30.48300000,29.43890000,29.66540000,110689.22000000,1614164399999,3311037.56016200,7314,59145.74000000,1769389.64049100,0
2021-02-24 11:00:00,29.69550000,30.90200000,29.66540000,30.51880000,118279.69000000,1614167999999,3603248.29244800,7451,62628.46000000,1909544.27592100,0
2021-02-24 12:00:00,30.50000000,31.53000000,30.49100000,30.73750000,158910.62000000,1614171599999,4940672.47318500,8118,80817.71000000,2512188.71760800,0
2021-02-24 13:00:00,30.76490000,30.91670000,28.92400000,29.43850000,168321.84000000,1614175199999,5004064.04834000,9717,78168.39000000,2323528.68542600,0
2021-02-24 14:00:00,29.37100000,29.72470000,28.20000000,28.88160000,123947.74000000,1614178799999,3585589.24419200,6575,61285.44000000,1774419.19310000,0
2021-02-24 15:00:00,28.92400000,29.70690000,27.41470000,29.53540000,160413.56000000,1614182399999,4598955.10164800,8955,73850.41000000,2117825.55422400,0
2021-02-24 16:00:00,29.53530000,30.00000000,28.92660000,29.03510000,101152.72000000,1614185999999,2991250.55082100,6525,53175.33000000,1572960.05354200,0
2021-02-24 17:00:00,29.03510000,29.93910000,29.03500000,29.64430000,55841.73000000,1614189599999,1653225.96730400,4633,29586.32000000,875454.33876700,0
2021-02-24 18:00:00,29.64430000,29.64430000,29.08100000,29.26260000,53660.75000000,1614193199999,1572809.16114500,4514,26035.99000000,762932.96599900,0
2021-02-24 19:00:00,29.23570000,29.46230000,28.20010000,28.35060000,76516.13000000,1614196799999,2201584.23772400,5134,35308.04000000,1015812.59735300,0
2021-02-24 20:00:00,28.32060000,29.25950000,28.20000000,29.23570000,79037.06000000,1614200399999,2259021.23998800,5757,39634.52000000,1133364.95166600,0
2021-02-24 21:00:00,29.21270000,29.27270000,27.52010000,28.19060000,112867.48000000,1614203999999,3198442.49992800,6424,56919.36000000,1613804.61738200,0
